user_id,review_contents
-InhDRRVG7wrwsgAUvN4Qw,"Thought I should get a tire quote at the Walmart across from Canadian Tire on Macleod Trail.  Parking was a bit messy today, as Christmas shopping is well into its inertia.  A woman formally greeted people at door and with me she greeted me in my native language which was surprising and a nice personal gesture.

I got to the tire counter and there was no one around for 15 minutes, there was also a note on the door revealing that they were fully booked today for appointments and this was on a Sunday.  A saleslady finally appeared out of nowhere and punched in my specs on the computer but didn't have enough expertise to fully find me the right tire.  Although she was friendly and polite, it was very low service compared to the full service I received at Canadian Tire where the salesman there actually pointed out tires to me and gave me good recommendations.  

So counter service is definitely lacking here.  I went away with a print out but I still didn't not know if the price she quoted me were the prices specific for my vehicle and usually she said there would be a two week waits for tires there as their stock is limited.  I guess I could come back and check but why would I come back here in the future?  When what I will expect is the same ambiguous answers about my vehicle; what a waste of time that would be.

So I walked out of the store a little disappointed but at least I had an answer. While I was leaving, I noticed how disorganised Walmart was that day, I don't know if it is the fluorescent lighting or the lower ceilings with that tacky ceiling tile; but everything seemed a bit in disarray.  

Shopping at Coop or Costco or the Superstore just has a more spacious airy feeling.  I suddenly felt claustrophobic and had to get out.  

The woman at the door was the only refreshing element at Walmart that day who bid me goodbye again in my native language."
-InhDRRVG7wrwsgAUvN4Qw,"Okay, when I first moved to Calgary I knew I needed three things, Wi-Fi internet, good coffee and a good hairstylist.  It was recommended I go to Chatters Salon at the Market Mall but specifically to the owner there.  When I arrived the only appointment they could schedule me in was with another stylist but I thought what the heck, my friend's hair seemed fierce, I trust the owner hired competent stylists, so I took it.

While I waited I needed some sort of guidance, no problem; picture books.  Salons always had the latest styles in magazines in their shop.  Well guess what? Not a magazine about hair in sight.  There was the latest who is sleeping with who garbage but nothing else that spoke of hair or even fashion for that matter.  

I then started to be aware of the hair stylists working at the salon and I started to get scared, there was not one modern hairstyle in the whole sea of stylists there, and not a shred of fashion sense.  They say the best marketing you can do is show off the product on yourself, I thought if the staff here have no taste, would that translate into their work?

Finally seated, my hairstylist took a spray bottle and wet my hair, hey where was the shampooing and the fine smelling Aussie conditioner? Where was the complimentary coffee and head massage for that matter? What I got was spray, spray, spray and then cut, cut, cut.  It was the worse haircut I have ever gotten in my life, it basically was a shortening of the hairstyle I originally had except minus an inch.  There was no layering, no pinning up, no shearing, nothing.  In fact, to top it all that disappointment off, was this ludichrist price tag at the end for what I had just received.  I mean it felt like a very expensive Magic Cuts.

So sorry Chatters, I don't know how you are still managing a cliental, perhaps the convenience of being at a mall.  I honestly don't get it."
-InhDRRVG7wrwsgAUvN4Qw,"My mother handed my cousins and I her credit card and said go enjoy your cousin's birthday.  What she did was the worst mistake a mother can do, offer the open option agreement.  I believe in her head she thought we would modestly go for pizza or perhaps if a little daring Chinese.  Oh no of course not, we headed directly to Ruth's Chris.  

Ruth's Chris Steak House sits directly at the base of the Calgary Tower; I don't need a view to enjoy what I know to be a very expensive meal.  Entering the restaurant, we were literally giggling, I mean my cousins and I are well beyond our late twenties.  But giggling?  

Of course we started our first course with martinis, whisky and white wine.   Appetizers of shrimp, and salads were soon ordered.  What another round of drinks? Sure! And of course what RC's is known for, top of the line Alberta Grade A beef, I mean this is a steak house.  Be careful though, if you do order one of the many sides, (baked potato, mashed potato etc) just get one because these are big portions and can be an even bigger dent to the pocket book if ordered per person.

The ambience in this place is dressed for Calgary's elite; a very classy deco interior, with brass and dark wood detailing, staff is formal, friendly and pristine.  Dressed to the tens with the best service this city should offer, we were absolutely delighted.  

So the ticket price of 3, enjoying drinks, appys and a steak meal at RC's?  Well it's 40 for 50 dollars a steak, so round it off $300 and don't forget the 20% gratuity.  

In this yelpers opinion, is it worth the hype? If you want to impress a very important business associate perhaps,   but for you're out of town guests or that special steak meal, R.C's is not my personal first choice, I can enjoy a nice meal at the Keg or Cattle Baron for half the price.

Needless to say my mother never offered her credit card again."
-InhDRRVG7wrwsgAUvN4Qw,"I can't believe this place didn't have people here on a Monday night; Imagine we were the only people in the whole restaurant.   This place needs more traffic, it is definitely underrated as I had a very nice huge meal, the service was excellent and my arm was sore from throwing a bowl into the fire pit.

Mykonos is hard to miss, sitting directly on Centre Street with a huge looming neon light.   There are two places to venture into the lounge and the restaurant.  My stomach growled the restaurant, so we picked a nice spacious table for two in the blue and white motif.  A candle was lit and we were brought menus right away by our very nice server Wayne.

The bread that is placed on your table is worth the meal in itself, this is high quality fibrous bread that is delicious and almost has sweetness to it.  I ordered the Souvlaki Dinner which had two tremendous skewer portions of pork marinated in herbs and spices, a large Greek salad and hearty roasted potatoes.  My friend had the Lamb Shish Kabob which was marinated chunks of lean tender meat, green peppers, onions and tomatoes, roasted potatoes and rice pilaf.  Both platters were big enough to keep us from conversation and full enough from ordering the Chocolate Lava Cake.

Wayne was both warm and friendly and we found out later that he was tending bar plus serving us so his service must have been immaculate because we didn't even notice.  Then when we asked for the bill,  two bowls were set for us to throw at the fire pit and yell ""Opa"" for good luck.  

This is an exciting prospect, I have never hurled anything for no reason so to pitch a fine chuck and crash was so exhilarating for both my friend and I.  I think Wayne noticed our glee that he gave us two more bowls but we decided instead to keep them as tokens of our fine meal and experience in Mykonos.

Definitely an amazing and non forgettable meal to say the least."
-InhDRRVG7wrwsgAUvN4Qw,"Well we had a huge family reunion today at Milestones at the South Centre; without a reservation we asked for a table for 12 and were seated fairly quickly.  

The waitress looked overwhelmed she was expecting another party of 10 beside us, but it didn't seem to affect her service.  

This Milestone is classically designed, nice chocolate brown palette with comfortable seating and dimmed lighting.  Perhaps a modern take on European art nouveau.  

Menu design was really nice too; a threefold menu with leather covers, it was easy to read and was very elegant to hold. I decided on the night's special of Sirloin Steak with shrimp and lobster topping, everyone else was in a steak mood, so there were many orders of rib eyes, and prime ribs at our table.  

We settled for two nice Australian bottles of red wine, and  I made a note that our waitress was both sweet and efficient. 

There was not ever a lull in the courses, mine however was the only one that included a very large Cesar Salad, which was really yummy, I could taste the shredded fresh garlic and it had a slight hint of anchovy.  

It wasn't long before our entrees came and were passed out rapidly at our table.  My steak although medium rare was a little tough and others commented that it wasn't the best steak that they had tasted.  

The garlic mashed potatoes however were very nice, but my special order came with only 3 shrimps and a very small piece of lobster, definitely disappointing.

Four or five desserts were then ordered and these were all priced quite reasonably at seven dollars, were served in good portions and were very tasty.  

All in all for 12 people it was $500 including the tip, not bad, but  Milestone would not be the first choice for me to eat steak in the future.

All in all however, Milestones South Centre is a nice location, very near to South Centre Mall, has a classy interior and pleasant service."
-InhDRRVG7wrwsgAUvN4Qw,"I recently answered a job offer on Craigslist which stated ""In the chaos of unpacked boxes you orchestrate a home masterpiece!"" which I quickly answered and got.  Basically I curated this woman's art, sacred objects and artifacts collection and needless to say it was a very memorable week working in what you can imagine to be a very eclectic home.  When the job finished my client invited the crew and I to a celebration dinner which brought us to a restaurant in Inglewood on 9th avenue S.E. called Sugo Caffe Italia.

Just sitting outside Sugo I felt underdressed and so did my co-workers but our appetites and curiosity managed to find our way into the restaurant where our reservation of 6 was warmly greeted by the staff.  The decor in this restaurant is exquisite, simple and clean with accents of contemporary earthy art pieces on warm muted walls.  Jarred tomatoes and jams are illuminated upwards with mini lights shining brightly from beneath them and antique chandeliers hang above dripping with crystal raindrops and lined pearl beads.  There is no corner that has not been thought out decoration wise here and the table settings are complete with artisan ceramics and fine crystal glassware.

An average meal is between 20 to 40 dollars but once you savour the many dishes on a menu that changes every evening and the many cheese options that I couldn't pronounce you are completely titillated.  Every meal's presentation has been evoked with an artist's touch and the freshest ingredients are presented in front of you to tantalize your palate.  I was extremely impressed by an ample Scotch list, over 15 choices and the huge portions of deserts that were presented in the most elegant formations that look like one could almost wear them as head pieces.

I was so impressed by Sugo the first time that I took my partner there to have our own celebration dinner the very next evening.

Absolutely 5 stars without a question."
-InhDRRVG7wrwsgAUvN4Qw,"The Deane House on 9th avenue S.E. sits very pretty alongside the Elbow River and has been on my list of places to visit for months, finally the other day I ventured over for lunch, only to find that this house also has tons of history.  Nearly 100 years old the Victorian house was home to the first RCMP in Calgary and is also part of Fort Calgary's Interpretive Center.  The Deane house offers brunch and lunch which consists of salads, pasta dishes and steak but for $25 you can also have a lunch menu of 4 courses which I believe changes every day.

You have the option of sitting indoors and looking at the river from the window or sitting near the garden, so my friend and I opted to sit in the backyard near the garden.  The home is quite quaint and there were many passersby that day which made the meal even more enjoyable.  Many wild ducks and geese are known to come from the shores of the Elbow River to take advantages of the wonderful crabapples that fall from the trees just in front of the house.

The waitress was very friendly and it wasn't long before we received our meals.  The cheeseburger there which according to the waitress is the best burger she has ever had in her life is I must admit quite up there in ranks for me as well.  The beef is grade A and it is garnished withe usual toppings but flourished with sun dried tomatoes and the option of a baked potato or potato wedges.  Delicious!

The Deane House is also home to local theatre companies who  perform ""Mystery Dinners"" where clients take part in staged murders that happen during the meal.  I was quite intrigued by this until my friend informed me that the Deane House is also well known as being a place of strange happenings, its haunted reputation is well visited by patrons because of this.  I thought it was a joke until we walked back to my car in the parking lot and I could swear I saw the curtain move upstairs.

I will definitely visit again during Halloween.  Moo HaHa"
-InhDRRVG7wrwsgAUvN4Qw,"Diner Deluxe is just what it states it is, a deluxe diner, set on the Edmonton Trail and right next door to the Urban Baker.  

Be prepared to be flung into the time, as the interior decor is all 50's.  Chrome tables and chairs, 50s lamps, and 50's island tables that surely came out of some Jetson episode.  There is a great mismatch of retro coffee cups and teapots here even the high chairs that line the hallway to the bathroom are authentically 50s.

The restaurant was not busy today which is from what I heard a slight miracle, so there was a really nice chill atmosphere to the sounds of 50's lounge music in the background.

Staff is very nice here and they tried desperately to get the permission of the owner to take photos of the restaurant; first she said yes and then she changed her mind and said no.  I don't really understand this idea, don't you want your restaurant to be known and isn't any publicity good especially if it is free, whether it be by word of mouth or via a review.  I mean it is a compliment if someone finds your place interesting enough to photograph it.  Enuf said.

Let's stick to the highlights then; The Menu. 

Seems there are tons of breakie reviews here so I will concentrate on the supper menu.  The supper menu or ""Classic Mains"" are around 17 dollars and all the offerings sound so delicious.

The Macaroni has sun dried tomatoes and basil, pesto and white cheddar.  Grilled New York Steak has caramelized onions, and potato wedges. Lamb shank has horse radish and Dijon, root vegetables and mashed potatoes.

I myself dove into the Meatloaf which had Dijon and mashed potatoes, pan gravy, and red pepper jelly. Yummy!

From beginning to end you are taken on a gastronomic voyage, it surely is worth the visit, and is I imagine a huge icon here in Calgary.  

I however take out one star for the hesitancy to promote what you have been working for, plus I was treated with such suspicion. Looks like other yelpers have done it anyways."
-InhDRRVG7wrwsgAUvN4Qw,"I was elated upon hearing that there was a Mac Cosmetics store here in Calgary.  I have been an actor in the Film and TV industry for years and most productions have used Mac Cosmetics on us as on-camera makeup.  My skin never reacted badly to it, and it always gave me a very natural glow, so I continued using it as my own personal makeup.

The store in Chinook is a nice space, it's a smaller store than what I am used to and this affects the stock that they can carry.  The girl assisting us was extremely friendly and informative and even so I couldn't help but notice that the staff here had overt amount of makeup on, and dare I say it, they looked like clowns.  Mac always prides itself on having natural looking makeup so I don't know why these girls were packing on the goods; the lighting is also very bright in this location so the results are even more heightened.  Perhaps this is intentional on Mac's part, I am not quite sure.  I have used Mac for years so I know the benefits of MC but if you are new to MC these faces may scare customers off.

There are also mirrors and make up chairs in the store, and MC offers make-up makeovers free of charge if make-up stylists in store are free and have the time to make you over.   For $55 you can make an appointment for a personal makeover and you get a free mascara or for $110 you can actually have MC teach you how to apply your own make-up.  Making over one half of your face and you are encouraged after the class to apply your own make-up on the other half of your face from what you learned.  With this $110 package you also get a free mascara.

Another perk that Mac offers is a 30 to 40 % discount to professional artists, you just need to ask for an application, be reviewed by Mac Pro central and upon approval they then can send you a Mac Pro card.

Chinook is a convenient location, I would like to compare it to the other stores in Calgary and to the counter at the Bay, but all in all the service was good."
-InhDRRVG7wrwsgAUvN4Qw,"Winter is around the corner folks and you know what that means, WINTER tires! Well I have been avoiding getting new tires ever since I bought my used vehicle but a friend recommended getting them now while they are still available and cheap.

Decided to do some pricing and this is what I found at the local Canadian Tire.  First of all, free parking and a huge store.  I have forgotten how lovely CT is;  I mean it carries everything not only automotive stuff, there is the household area, toys, sporting goods, weights, there is already even ten rows for Xmas decorations.  I was so distracted by other things that I needed to buy that I totally forgot about my first intention for coming.

Once focused I ventured to the automotive area, and there was a full service staff there attending to customers.  I finally found George and I knew it was him as CT now has plasma TVs that proudly display mug shots of their service workers.  It was funny talking to George as his photos sat grimly behind him over his right shoulder.  ""Ignore it"" he said ""the only thing it lacks is the line of numbers on the bottom and a profile shot"".  I instantly took a liking to this guy.

He explained that winters tires are seasonal especially studded ones, and that by city law you could only drive winter tires with studs from now until May.  I would be looking at buying another set of tires in 6 months.  To save money he said to go with the all season tire and that if I wasn't planning on doing much driving I would be okay with the most economical one.  We talked for at least 30 minutes, George showing me many examples of tires, the difference in grade and wear and the CT guarantee.  He gave me quotes and printed my options; it was the best service I had ever gotten at an automotive store. Not once did I see George TIRE!  Hee hee

All in all exceptional service and great prices.  CT has always been consistent for this, I have dealt with CT all my driving life, so get your tires here and don't be left out of the cold literally."
